Date,Opponent,W/L,GS,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,SBA,CS,HBP,SH,SF,GDP,K,home_away
3/1/2025,Arcadia University,W,1,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,away
3/1/2025,Arcadia University,W,1,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,away
3/4/2025,Widener,W,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/4/2025,Widener,W,1,3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,home
3/11/2025,Chapman,L,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,away
3/11/2025,Chapman,L,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
3/13/2025,Whittier,L,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
3/13/2025,Case Western Reserve,L,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,home
3/15/2025,Claremont-M-S,L,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,away
3/15/2025,Claremont-M-S,L,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,away
3/18/2025,Rosemont,W,1,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,home
3/18/2025,Rosemont,W,1,3,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,home
3/20/2025,Gwynedd Mercy,W,1,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,away
3/20/2025,Gwynedd Mercy,W,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
3/25/2025,Penn State Brandywin,L,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,home
3/25/2025,Penn State Brandywin,L,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,home
3/29/2025,Dickinson,W,1,2,1,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,home
3/29/2025,Dickinson,L,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
4/1/2025,Ursinus,W,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,home
4/1/2025,Ursinus,L,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,home
4/3/2025,Immaculata,W,1,3,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,away
4/3/2025,Immaculata,W,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
4/5/2025,Franklin & Marshall,L,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,away
4/5/2025,Franklin & Marshall,L,1,4,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,away
4/10/2025,Washington College,W,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
4/10/2025,Washington College,L,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
4/13/2025,Drew,W,1,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,home
4/13/2025,Drew,W,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,home
4/15/2025,Swarthmore,L,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,home
4/15/2025,Swarthmore,L,1,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,home
4/19/2025,Gettysburg,L,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,away
4/19/2025,Gettysburg,L,1,3,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,away
4/22/2025,Muhlenberg,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,away
