Date,Opponent,W/L,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,home_away
3/5/2023,Drew,W,4,4,0,0,1.000,0,0,0,0,0,home
3/5/2023,Haverford,L,0,0,0,0,0.000,0,0,0,0,0,home
3/6/2023,Rockford,W,5,4,1,0,1.000,1,0,0,0,0,home
3/6/2023,Pitt.-Bradford,W,2,2,0,0,1.000,0,0,0,0,0,home
3/8/2023,Pitt.-Bradford,W,6,6,0,0,1.000,0,0,0,0,0,home
3/8/2023,Grove City,W,5,3,2,0,1.000,0,0,0,0,0,home
3/9/2023,John Carroll,L,3,2,1,0,1.000,0,0,0,0,0,home
3/9/2023,Alverno,W,3,1,2,0,1.000,0,0,0,0,0,home
3/10/23,SUNY Potsdam,W,1,1,0,0,1.000,0,0,0,0,0,home
3/10/2023,Clark University,W,3,0,3,0,1.000,0,0,0,0,0,home
3/16/2023,Cabrini,W,2,1,0,1,.500,0,0,0,0,0,away
3/16/2023,Cabrini,W,0,0,0,0,0.000,0,0,0,0,0,away
3/18/2023,Eastern,W,3,2,1,0,1.000,0,0,0,0,0,home
3/18/2023,Eastern,W,0,0,0,0,0.000,0,0,0,0,0,home
3/21/2023,Arcadia University,L,6,2,2,2,.667,0,0,0,0,0,away
3/21/2023,Arcadia University,L,2,2,0,0,1.000,0,0,0,0,0,away
3/23/2023,Penn St. Brandywine,L,6,2,4,0,1.000,0,0,0,0,0,away
3/23/2023,Penn St. Brandywine,L,1,1,0,0,1.000,0,0,0,0,0,away
3/28/2023,MIT,L,6,5,1,0,1.000,0,0,0,0,0,home
3/28/2023,MIT,L,3,3,0,0,1.000,0,0,0,0,0,home
3/30/2023,Widener,L,8,3,4,1,.875,0,0,0,0,0,away
3/30/2023,Widener,L,3,2,1,0,1.000,0,0,0,0,0,away
4/1/2023,McDaniel,L,1,1,0,0,1.000,0,0,0,0,0,away
4/1/2023,McDaniel,W,0,0,0,0,0.000,0,0,0,0,0,away
4/4/2023,Washington College,W,1,1,0,0,1.000,0,0,0,0,0,home
4/4/2023,Washington College,T,2,2,0,0,1.000,0,0,0,0,0,home
4/8/2023,Gettysburg,L,2,1,1,0,1.000,0,0,0,0,0,away
4/8/2023,Gettysburg,L,2,2,0,0,1.000,0,0,0,0,0,away
4/11/2023,Swarthmore,W,0,0,0,0,0.000,0,0,0,0,0,away
4/11/2023,Swarthmore,L,2,2,0,0,1.000,0,0,0,0,0,away
4/16/2023,Dickinson,L,4,3,1,0,1.000,0,0,0,0,0,home
4/16/2023,Dickinson,L,6,2,4,0,1.000,0,0,0,0,0,home
4/18/2023,Muhlenberg,L,6,4,2,0,1.000,0,0,0,0,0,away
4/18/2023,Muhlenberg,W,14,6,8,0,1.000,0,0,0,0,0,away
4/22/2023,Franklin & Marshall,L,0,0,0,0,0.000,0,0,0,0,0,home
4/25/2023,Ursinus,L,2,1,0,1,.500,0,0,0,0,0,home
4/25/2023,Ursinus,L,9,5,4,0,1.000,1,0,0,0,0,home
