Date,Opponent,W/L,GS,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,SBA,CS,HBP,SH,SF,GDP,K,home_away
3/5/2023,Drew,W,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/5/2023,Haverford,L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/6/2023,Rockford,W,1,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,home
3/6/2023,Pitt.-Bradford,W,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/8/2023,Pitt.-Bradford,W,1,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,home
3/8/2023,Grove City,W,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,home
3/9/2023,John Carroll,L,1,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,home
3/9/2023,Alverno,W,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,home
3/10/23,SUNY Potsdam,W,1,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/10/2023,Clark University,W,1,4,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,home
3/16/2023,Cabrini,W,1,3,3,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,away
3/16/2023,Cabrini,W,1,3,1,2,2,1,0,0,0,0,1,1,0,0,0,0,0,1,away
3/18/2023,Eastern,W,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/18/2023,Eastern,W,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,home
3/21/2023,Arcadia University,L,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,away
3/21/2023,Arcadia University,L,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,away
3/23/2023,Penn St. Brandywine,L,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,away
3/23/2023,Penn St. Brandywine,L,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,away
3/28/2023,MIT,L,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,home
3/28/2023,MIT,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/30/2023,Widener,L,1,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,away
3/30/2023,Widener,L,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
4/1/2023,McDaniel,L,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,away
4/1/2023,McDaniel,W,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,away
4/4/2023,Washington College,W,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,home
4/4/2023,Washington College,T,1,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,home
4/8/2023,Gettysburg,L,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,away
4/8/2023,Gettysburg,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,away
4/11/2023,Swarthmore,W,1,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,away
4/11/2023,Swarthmore,L,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
4/16/2023,Dickinson,L,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,home
4/16/2023,Dickinson,L,1,5,0,2,3,1,0,0,0,0,1,1,0,0,0,0,0,1,home
4/18/2023,Muhlenberg,L,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,away
4/18/2023,Muhlenberg,W,1,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,away
4/22/2023,Franklin & Marshall,L,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,home
4/25/2023,Ursinus,L,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,home
4/25/2023,Ursinus,L,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,home
